
{ time: '12:36:45', cpu: 0, ram: 9.40, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 48, netRx: 0, netTx: 0 },
{ time: '12:36:46', cpu: 0, ram: 9.40, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 48, netRx: 0, netTx: 0 },
{ time: '12:36:47', cpu: 0.1, ram: 9.36, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 48, netRx: 0, netTx: 2 },
{ time: '12:36:48', cpu: 0, ram: 9.37, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 48, netRx: 0, netTx: 0 },
{ time: '12:36:49', cpu: 0.1, ram: 9.37, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 48, netRx: 0, netTx: 0 },
{ time: '12:36:50', cpu: 0.05, ram: 9.36, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 48, netRx: 1, netTx: 2 },
{ time: '12:36:51', cpu: 0, ram: 9.39, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 48, netRx: 0, netTx: 0 },
{ time: '12:36:52', cpu: 0.05, ram: 9.39, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 48, netRx: 0, netTx: 2 },
{ time: '12:36:53', cpu: 0.05, ram: 9.40, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 48, netRx: 0, netTx: 0 },
{ time: '12:36:54', cpu: 0, ram: 9.37, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 48, netRx: 0, netTx: 0 },
{ time: '12:36:55', cpu: 0.15, ram: 9.39, disk: 1, smart: 'OK', cpuTemp: 40.1, gpuTemp: 48, netRx: 0, netTx: 2 },
{ time: '12:36:56', cpu: 0.05, ram: 9.39, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 48, netRx: 0, netTx: 0 },
{ time: '12:36:57', cpu: 0.1, ram: 9.37, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 48, netRx: 0, netTx: 0 },
{ time: '12:36:58', cpu: 0.1, ram: 9.36, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 48, netRx: 0, netTx: 2 },
{ time: '12:36:59', cpu: 0.05, ram: 9.37, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 47, netRx: 0, netTx: 0 },
{ time: '12:37:01', cpu: 0, ram: 9.37, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 47, netRx: 0, netTx: 0 },
{ time: '12:37:02', cpu: 0.05, ram: 9.36, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 47, netRx: 1, netTx: 2 },
{ time: '12:37:03', cpu: 0.1, ram: 9.37, disk: 1, smart: 'OK', cpuTemp: 40.0, gpuTemp: 47, netRx: 0, netTx: 0 },
